title,author,stars,reviews,category_id,publishedDate,category_name
The Seamstress of New Orleans: A Fascinating Novel of Southern Historical Fiction,Diane C. McPhail,4.1,3262,5,2022-05-31,Literature & Fiction
You or Someone Like You,Winter Renshaw,4.4,2071,5,2023-07-18,Literature & Fiction
Sir Hereward and Mister Fitz: Stories of the Witch Knight and the Puppet Sorcerer,Garth Nix,4.4,302,5,2023-08-22,Literature & Fiction
Then You Came Along: A Novel,Debbie Macomber,4.5,456,5,2023-02-21,Literature & Fiction
The Glovemaker's Daughter: Completely heartbreaking and gripping World War Two fiction,Shari J. Ryan,4.6,48,5,2023-09-18,Literature & Fiction
Social Engagement: A Novel,Avery Carpenter Forrey,3.3,204,5,2023-05-23,Literature & Fiction
Finding Dorothy: A Novel,Elizabeth Letts,4.5,3907,5,2019-02-12,Literature & Fiction
Flight Plan,T.B. Markinson,4.6,995,5,2023-06-16,Literature & Fiction
The Kitchen Front: A Novel,Jennifer Ryan,4.4,4387,5,2021-02-23,Literature & Fiction
Kissing Kosher: A Novel,Jean Meltzer,4.4,93,5,2023-08-29,Literature & Fiction
Pumpkin Spice and Not So Nice,Becky Monson,4.3,2119,5,2022-09-08,Literature & Fiction
Say You Love Me,Rachel Murphy,4.6,185,5,2023-08-18,Literature & Fiction
Broken Bonds,K.L. Moore,4.5,841,5,2023-08-01,Literature & Fiction
The Power,Naomi Alderman,4.2,26742,5,2017-10-10,Literature & Fiction
Sea of Memories,Fiona Valpy,4.6,64145,5,2018-03-01,Literature & Fiction
Stepdaddy Season,Natisha Raynor,4.7,2707,5,2023-06-18,Literature & Fiction
Mobility: A Novel,Lydia Kiesling,4.3,87,5,2023-08-01,Literature & Fiction
Once More with Feeling: A Novel,Elissa Sussman,4.0,916,5,2023-05-30,Literature & Fiction
Clever Lass: A Pride and Prejudice Variation,Mary Alice Alexander,4.1,559,5,2023-07-01,Literature & Fiction
Rubicon,J. S. Dewes,4.2,387,5,2023-03-28,Literature & Fiction
Milk Fed: A Novel,Melissa Broder,3.8,2220,5,2021-02-02,Literature & Fiction
The Story Collector,Evie Gaughan,4.4,700,5,2018-06-14,Literature & Fiction
The Sunset Crowd: A Novel,Karin Tanabe,4.0,157,5,2023-07-04,Literature & Fiction
Hotshot,Clare Lydon,4.5,1355,5,2023-04-13,Literature & Fiction
Evidence of the Affair,Taylor Jenkins Reid,4.1,27066,5,2018-09-20,Literature & Fiction
My Dear Hamilton: A Novel of Eliza Schuyler Hamilton,Stephanie Dray,4.6,11449,5,2018-04-03,Literature & Fiction
The English Bookshop,Janis Wildy,4.3,4892,5,2022-04-01,Literature & Fiction
Who We Are Now: A Novel,Lauryn Chamberlain,4.0,95,5,2023-08-08,Literature & Fiction
Breasts and Eggs: A Novel,Mieko Kawakami,4.2,2963,5,2023-03-08,Literature & Fiction
Pomegranate: A Novel,Helen Elaine Lee,4.4,176,5,2023-04-11,Literature & Fiction
The Girl Who Escaped: Utterly heartbreaking and emotional WW2 historical fiction,Angela Petch,4.4,1453,5,2023-04-19,Literature & Fiction
End of Days: Box Set Books 1 - 7: A Post-Apocalyptic EMP Survival Thriller,Sam J Fires,4.4,396,5,2022-12-15,Literature & Fiction
The Loving Fate of Lords: A Historical Regency Romance Collection,Bridget Barton,4.7,12,5,2023-09-16,Literature & Fiction
Darcy's Gallant Gambit: A Pride and Prejudice Variation,Jaime Marie Lang,4.4,379,5,2023-07-21,Literature & Fiction
"The Irish House: A totally heartbreaking and powerful story about families, secrets and finding your way home",Ann O'Loughlin,4.4,1330,5,2023-04-14,Literature & Fiction
I'm Glad My Mom Died,Jennette Mccurdy,4.7,59038,9,2022-08-09,Biographies & Memoirs
Trail of the Lost: The Relentless Search to Bring Home the Missing Hikers of the Pacific Crest Trail,Andrea Lankford,4.3,280,9,2023-08-22,Biographies & Memoirs
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,4.8,35451,9,2017-11-21,Biographies & Memoirs
"Tangled Vines: Power, Privilege, and the Murdaugh Family Murders",John Glatt,4.2,434,9,2023-08-08,Biographies & Memoirs
"Unbroken Bonds of Battle: A Modern Warriors Book of Heroism, Patriotism, and Friendship",SSGT Johnny Joey Jones,4.8,1761,9,2023-06-27,Biographies & Memoirs
White House by the Sea: A Century of the Kennedys at Hyannis Port,Kate Storey,4.5,449,9,2023-06-27,Biographies & Memoirs
"In the Shadow of the Empress: The Defiant Lives of Maria Theresa, Mother of Marie Antoinette, and Her Daughters",Nancy Goldstone,4.6,381,9,2021-09-21,Biographies & Memoirs
